"ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","price","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station"
2,"2019-11-01","SW8 1UY","F","N","L","STAMFORD BUILDINGS","FLAT 8","SOUTH LAMBETH ROAD",NA,"LONDON","LAMBETH","SW8","E",30,2,2.3,1.7,463,344,"Average","owner-occupied",51.479247,-0.122944,34,8,1,"stockwell","Thames Water",57200,"Lambeth",360000,"tube",1,0,0,0.5275686
3,"2019-08-08","TW10 5DF","F","N","L","73",NA,"SHEEN COURT",NA,"RICHMOND","RICHMOND UPON THAMES","TW10","D",50,2,3,1.7,313,175,"Average","rental (private)",51.46515,-0.282765,75,9,3,"north sheen","Thames Water",61900,"Richmond upon Thames",408500,"rail",0,1,0,0.7699146
4,"2019-04-23","TW14 9QY","S","N","F","199",NA,"HATTON ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",100,5,3.7,1.5,212,82,"Average","owner-occupied",51.459447,-0.431547,83,25,5,"hatton cross","Affinity Water",50600,"Hounslow",499950,"tube",1,1,0,0.8531822
5,"2019-07-05","E12 5AX","F","N","L","72A",NA,"DURHAM ROAD","MANOR PARK","LONDON","NEWHAM","E12","E",39,2,2.8,1.1,374,144,"Very Poor","rental (private)",51.551404,0.042255,211,11,3,"manor park","Thames Water",45400,"Redbridge",259999,"light_rail",0,0,1,0.2901938
7,"2019-09-06","TW14 8AG","S","N","F","40",NA,"IMPERIAL ROAD",NA,"FELTHAM","HOUNSLOW","TW14","D",88,4,3.9,1.4,251,90,"Average","owner-occupied",51.451684,-0.429323,73,21,6,"feltham","Affinity Water",49000,"Hounslow",395000,"tube",1,1,0,1.0725364
8,"2019-09-19","TW10 7UN","F","N","L","19",NA,"FELLBROOK",NA,"RICHMOND","RICHMOND UPON THAMES","TW10","C",101,4,3.1,1.4,175,77,"Average","owner-occupied",51.434843,-0.319165,51,11,6,"teddington","Thames Water",56200,"Richmond upon Thames",545000,"rail",0,1,0,1.3403598
9,"2019-02-05","BR4 9LG","D","N","F","2",NA,"HARDCOURTS CLOSE",NA,"WEST WICKHAM","BROMLEY","BR4","E",136,6,8.1,4.1,339,168,"Average","owner-occupied",51.367486,-0.020776,25,95,3,"west wickham","Thames Water",57200,"Bromley",8e+05,"light_rail",0,0,1,1.0855858
10,"2019-06-07","SW13 8DL","T","N","F","29",NA,"MERTHYR TERRACE",NA,"LONDON","RICHMOND UPON THAMES","SW13","D",148,6,5.6,2,216,75,"Average","rental (private)",51.485212,-0.231904,91,7,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",1440000,"tube",2,0,0,1.5019238
11,"2019-04-16","SW11 4QR","T","N","F","10",NA,"PETWORTH STREET",NA,"LONDON","WANDSWORTH","SW11","E",186,6,10,6.1,308,186,"Very Poor","owner-occupied",51.475636,-0.166379,60,7,2,"battersea park","Thames Water",50400,"Wandsworth",1415000,"light_rail",0,1,1,0.916565
12,"2019-04-26","CR0 8JE","F","N","L","206",NA,"SHRUBLANDS AVENUE",NA,"CROYDON","CROYDON","CR0","C",65,3,1.5,1.5,128,128,"Average","owner-occupied",51.365806,-0.029382,97,106,3,"west wickham","Thames Water",52300,"Croydon",250000,"light_rail",0,0,1,1.6460886
13,"2019-05-17","DA1 3PW","F","N","L","2",NA,"HEATHLEE ROAD","CRAYFORD","DARTFORD","BEXLEY","DA1","E",50.18,3,3,2.9,399,379,"Very Poor","rental (private)",51.446649,0.176585,73,13,6,"crayford","Thames Water",49600,"Bexley",230000,"rail",0,1,0,0.8680958
14,"2019-09-13","DA16 2SS","T","N","F","15",NA,"EASTCOTE ROAD",NA,"WELLING","BEXLEY","DA16","D",129,7,5.3,2.3,236,100,"Average","owner-occupied",51.463994,0.084707,91,69,4,"welling","Thames Water",58700,"Bexley",475000,"rail",0,1,0,0.9619272
15,"2019-05-28","RM7 0YX","T","N","F","10",NA,"EASTBROOK DRIVE","RUSH GREEN","ROMFORD","BARKING AND DAGENHAM","RM7","D",73,4,3.3,1.3,260,96,"Average","owner-occupied",51.55697,0.178747,99,10,6,"dagenham east","Essex & Suffolk Water",43700,"Havering",330000,"tube",1,0,0,1.379508
16,"2019-08-28","SW13 8QZ","F","N","L","58",NA,"RIVERVIEW GARDENS",NA,"LONDON","RICHMOND UPON THAMES","SW13","C",119,3,3.5,1.8,154,78,"Poor","owner-occupied",51.485966,-0.22944,91,8,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames",1333500,"tube",2,0,0,1.6585166
17,"2019-07-19","SW11 4AB","F","N","L","ETHELBURGA TOWER","FLAT 54","ROSENAU ROAD",NA,"LONDON","WANDSWORTH","SW11","E",63.8,3,3.8,3.7,336,326,"Average","rental (private)",51.476927,-0.166126,88,7,2,"battersea park","Thames Water",63200,"Wandsworth",372000,"light_rail",0,1,1,0.9588202
18,"2019-03-04","SE16 6NA","T","N","F","43",NA,"BUCKTERS RENTS",NA,"LONDON","SOUTHWARK","SE16","E",108,7,6.3,2.6,311,127,"Average","owner-occupied",51.504943,-0.038054,64,8,2,"rotherhithe","Thames Water",69100,"Southwark",610000,"light_rail",0,0,1,0.8196266
19,"2019-05-17","DA14 5NG","S","N","F","63",NA,"THE GROVE",NA,"SIDCUP","BEXLEY","DA14","D",94,4,4.2,2,253,118,"Average","owner-occupied",51.423921,0.131747,84,27,5,"albany park","Thames Water",43600,"Bexley",392500,"rail",0,1,0,2.069262
20,"2019-06-28","SE28 0JA","T","N","F","12",NA,"MILES DRIVE",NA,"LONDON","GREENWICH","SE28","D",129,6,4.7,3.1,179,105,"Average","owner-occupied",51.502964,0.089036,119,5,3,"plumstead","Thames Water",49700,"Greenwich",405000,"light_rail",0,0,1,1.078129
21,"2019-08-30","NW9 6ES","T","N","F","8",NA,"COLIN DRIVE",NA,"LONDON","BARNET","NW9","D",83,4,3.8,1.7,261,112,"Average","owner-occupied",51.584839,-0.241521,139,50,3,"colindale","Affinity Water",46900,"Brent",440000,"rail",0,1,0,1.075022
22,"2019-12-19","TW13 7PF","D","N","F","15",NA,"ELIZABETH WAY",NA,"FELTHAM","HOUNSLOW","TW13","D",165,7,5.9,3.8,196,123,"Good","owner-occupied",51.434053,-0.402895,45,16,6,"feltham","Thames Water",52700,"Hounslow",760000,"rail",0,1,0,1.6199898
24,"2019-03-15","SW11 3DH","F","N","L","51","GROUND FLOOR FLAT","SHUTTLEWORTH ROAD",NA,"LONDON","WANDSWORTH","SW11","D",36.72,3,2.4,1.9,394,304,"Very Poor","rental (private)",51.472921,-0.171614,47,6,2,"clapham junction","Thames Water",66400,"Wandsworth",515000,"light_rail",0,1,1,0.8040916
25,"2019-09-30","TW14 8PB","F","N","L","3",NA,"LINDSEY GARDENS",NA,"FELTHAM","HOUNSLOW","TW14","E",30.31,2,1.8,1.9,392,416,"Good","owner-occupied",51.450819,-0.437887,25,20,6,"heathrow terminal 4","Affinity Water",49000,"Hounslow",207000,"tube",1,1,0,1.4814176
27,"2019-07-12","W14 0DP","F","N","L","62A",NA,"ADDISON GARDENS",NA,"LONDON","HAMMERSMITH AND FULHAM","W14","C",67,3,1.6,1,136,84,"Very Poor","owner-occupied",51.50139,-0.217004,255,9,2,"kensington (olympia)","Thames Water",54700,"Kensington and Chelsea",770000,"tube",1,1,1,0.43498
28,"2019-03-22","SE16 5HG","F","N","L","3",NA,"CAPSTAN WAY",NA,"LONDON","SOUTHWARK","SE16","C",30,2,1.2,1.1,235,215,"Average","owner-occupied",51.503748,-0.035411,83,6,2,"rotherhithe","Thames Water",63300,"Southwark",273500,"light_rail",0,0,1,0.9979684
29,"2019-10-04","SE16 5UA","F","N","L","CHRISTIAN COURT","FLAT 79","ROTHERHITHE STREET",NA,"LONDON","SOUTHWARK","SE16","B",67.28,3,1.2,1.1,113,101,"Good","rental (private)",51.503044,-0.032573,63,5,2,"surrey quays","Thames Water",63300,"Southwark",490000,"light_rail",0,0,1,1.1421332
31,"2019-05-30","SE28 8TL","T","N","F","80",NA,"GRASSHAVEN WAY",NA,"LONDON","GREENWICH","SE28","D",76,4,3.1,1,233,75,"Average","owner-occupied",51.502505,0.101119,117,4,4,"abbey wood","Thames Water",49700,"Greenwich",310000,"rail",0,1,0,2.7851148
32,"2019-03-01","RM11 3QP","S","N","F","3",NA,"CARISBROOKE CLOSE",NA,"HORNCHURCH","HAVERING","RM11","C",110,5,3.6,2.1,187,106,"Poor","owner-occupied",51.561634,0.236292,60,21,6,"upminster","Essex & Suffolk Water",54600,"Havering",425000,"tube",1,0,0,0.8463468
33,"2019-05-24","CR0 6DT","T","N","F","529",NA,"DAVIDSON ROAD",NA,"CROYDON","CROYDON","CR0","E",85,5,4.7,1.9,314,123,"Good","owner-occupied",51.389559,-0.078826,77,50,3,"blackhorse lane","Thames Water",50500,"Croydon",375000,"rail",0,1,0,0.608972
34,"2019-05-29","TW14 9PX","S","N","F","13",NA,"HAZELMERE CLOSE",NA,"FELTHAM","HOUNSLOW","TW14","C",81,5,2.7,1,185,67,"Good","owner-occupied",51.457661,-0.431766,58,24,6,"hatton cross","Affinity Water",50600,"Hounslow",427500,"tube",1,1,0,1.0103964
35,"2019-02-22","TW14 8SL","F","N","L","20",NA,"GRAFTON COURT",NA,"FELTHAM","HOUNSLOW","TW14","C",36,2,1.5,1.2,210,171,"Good","owner-occupied",51.447889,-0.433972,55,19,6,"feltham","Affinity Water",49000,"Hounslow",188000,"tube",1,1,0,1.5168374
36,"2019-12-05","SW11 3YL","F","N","L","MONTEVETRO, 100","APARTMENT E52","BATTERSEA CHURCH ROAD",NA,"LONDON","WANDSWORTH","SW11","B",182.12,5,2.9,2.2,98,74,"Good","owner-occupied",51.4772,-0.175014,122,15,2,"clapham junction","Thames Water",63200,"Wandsworth",3200000,"light_rail",0,1,1,1.1719604
37,"2019-08-22","CR8 1ES","S","N","F","63",NA,"DERWENT DRIVE",NA,"PURLEY","CROYDON","CR8","D",106,5,4.6,2.3,247,124,"Average","owner-occupied",51.327016,-0.092694,29,141,6,"riddlesdown","SES Water",63800,"Croydon",515000,"rail",0,1,0,0.6195358
